                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6028,                 3.2068,                  1.865,                0.99018,                0.83333,                0.97214,                 0.5569,                 1.3958,                 15.021,                 1.7213,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.2608,                 1.5353,                 1.4516,                0.73565,                      1,                0.97214,                0.74731,                 1.0263,                 5.7243,                 1.3029,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.1566,                 1.4249,                 1.3658,                0.79314,                 0.6438,                0.74631,                0.43143,                 1.5904,                 10.998,                 1.5001,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.1691,                 1.3687,                 1.3492,                0.01577,                0.83333,                0.02095,                0.01061,                  1.338,                 98.118,                 1.9018,             0.00056612,             0.00056612,             0.00056612
                      5,                  1.194,                  1.697,                 1.4249,                0.58687,                0.83333,                0.69186,                0.37222,                 1.9084,                 5.9882,                 2.2698,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.1547,                 1.0517,                   1.35,                      1,                0.66667,                0.92227,                 0.6388,                0.91691,                 4.5898,                 1.3083,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.1374,                 1.0505,                  1.356,                0.04046,                0.16667,                0.00812,                0.00325,                 3.5008,                 36.728,                 4.6325,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.1703,                 1.0728,                 1.4089,                0.02397,                    0.5,                0.02446,                0.00626,                 4.0777,                 82.788,                 8.3655,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.2762,                0.96021,                 1.3974,                0.04255,                0.33333,                0.02243,                0.00768,                 4.0831,                 162.28,                 8.0811,               0.001228,               0.001228,               0.001228
                     10,                  1.183,                 1.0327,                 1.3907,                0.01207,                    0.5,                 0.0092,                0.00294,                   3.62,                 154.85,                 9.2355,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.1106,                 1.0988,                 1.3156,                0.17143,                      1,                0.24892,                0.13766,                 1.6118,                  62.61,                 2.4953,              0.0014719,              0.0014719,              0.0014719
